Tavg,wind,RH,SW_Rad
-0.277,2.379579167,0.9016305,3.81492252
-3.977,3.152041667,0.803037083,7.39966968
2.442,2.924875,0.848304208,10.20728232
2.3055,3.092179167,0.959681167,3.50910144
-0.7415,5.907216667,0.807546333,10.74376728
2.6695,4.505183333,0.583749875,9.88434144
2.422,1.3986875,0.726562083,10.89244944
1.8085,0.8619625,0.904959917,5.05502496
1.458,2.06945,0.888668667,8.15868396
1.7995,6.980008333,0.991696708,1.44945972
1.8295,8.915041667,0.993945667,0.56796228
-1.3725,6.498541667,0.953523708,6.69330576
1.8265,6.277679167,0.990022042,2.0469924
4.2605,6.875270833,0.956197,7.78326948
3.2815,4.6596125,0.992798042,1.4842476
2.8625,7.3753375,0.895214458,6.52956768
2.1835,4.2373875,0.95805475,5.12314344
5.233,1.879070833,0.960540417,3.67234848
6.4995,3.373229167,0.989530458,2.73528792
5.1855,5.407779167,0.989708542,1.40793336
0.3185,3.849470833,0.971337708,3.307995
2.3515,3.453770833,0.885958083,8.73194148
3.008,2.738141667,0.949962083,1.94004792
3.457,3.365233333,0.987680792,1.07120304
4.0025,4.724925,0.912154583,11.7000702
2.9085,2.650529167,0.826408833,13.48674516
2.1605,3.990029167,0.718013333,13.74730236
3.157,4.593641667,0.581554583,13.98481164
2.244,1.685204167,0.763887042,12.14890776
2.5895,4.730283333,0.944987958,2.59483176
1.2275,2.4203375,0.772661375,14.36787648
3.2885,1.3170875,0.995662333,12.47426028
4.819,1.143695833,0.933349292,14.09420628
4.519,1.3812,0.824406292,13.17882708
2.961,4.744529167,0.974703625,5.60743884
2.216,5.887745833,0.991421583,5.60398716
3.394,1.953758333,0.86147225,11.16744444
4.07,1.415166667,0.766581667,14.52195108
3.243,2.7886625,0.932037208,4.58620128
2.925,3.505091667,0.989363667,4.09399884
1.7945,4.589070833,0.99183225,3.74500656
2.091,2.022908333,0.889017167,13.39559604
2.3545,2.311429167,0.8503185,16.3819368
2.343,5.4578375,0.876378333,12.4121322
0.385,9.175004167,0.985365583,6.41549592
1.448,8.011645833,0.991939292,3.65023908
1.454,2.52675,0.903641708,8.32663692
0.799,2.3484875,0.894617417,15.6499272
1.895,4.2999,0.756409042,17.80279056
2.6415,2.569225,0.715932542,16.80417648
4.3445,2.838783333,0.917833792,5.9397822
1.2295,2.878770833,0.958363125,11.40326208
0.687,5.599291667,0.975763667,5.02653744
-1.3775,6.299204167,0.906300958,15.62089176
-3.108,3.348816667,0.912385042,12.66819048
0.1845,2.693808333,0.882386333,16.48932336
1.3415,7.217479167,0.980646667,4.91474808
1.3255,6.7513625,0.978215125,7.3795518
1.02,5.113114583,0.892921875,7.3795518
0.86725,4.293990625,0.85027525,7.3795518
